name,is_male,is_female,is_surname
Agostina,False,True,False
Agostinho,True,False,False
Agostino,True,False,False
Ágoston,True,False,False
Ågot,False,True,False
Ágota,False,True,False
Agrafena,False,True,False
Agramante,True,False,False
Agripina,False,True,False
Agrippa,True,True,False
Agrippina,False,True,False
Agron,True,False,False
Agrona,False,True,False
Águeda,False,True,False
Agung,True,False,False
Agurne,False,True,False
Agurtzane,False,True,False
Agus,True,False,False
Agustí,True,False,False
Agustín,True,False,False
Agustina,False,True,False
Ah,True,True,False
Ahab,True,False,False
Aharon,True,False,False
Ahasuerus,True,False,False
Ahava,False,True,False
Ahenobarbus,True,False,False
Ahinoam,False,True,False
Əhməd,True,False,False
Ahmad,True,False,False
Ahmadu,True,False,False
Ahmed,True,False,False
Ahmet,True,False,False
Ahmose,True,True,False
Aholibamah,False,True,False
'Aholivama,False,True,False
Ahoth,True,False,False
Ahriman,True,False,False
Ahsan,True,False,False
Ahsen,True,True,False
Ahtahkakoop,True,False,False
Ahti,True,False,False
Ahu,False,True,False
Ahuludegi,True,False,False
Ahura Mazda,True,False,False
Ahuva,False,True,False
Ai,False,True,False
Aias,True,False,False
Aibek,True,False,False
Aíbinn,False,True,False
Aïcha,False,True,False
Aïchatou,False,True,False
Aída,False,True,False
Aida,False,True,False
Aidan,True,False,False
Aidana,False,True,False
Aidas,True,False,False
Aiday,False,True,False
Aideen,False,True,False
Aiden,True,False,False
Aífe,False,True,False
Aifric,False,True,False
Aiga,False,True,False
Aigar,True,False,False
Aigars,True,False,False
Aigerim,False,True,False
Aigeus,True,False,False
Aigle,False,True,False
Aignéis,False,True,False
Aigul,False,True,False
Aija,False,True,False
Aikaterine,False,True,False
Aikaterini,False,True,False
Aike,True,False,False
Aiko,False,True,False
Aikorkem,False,True,False
Aila,False,True,False
Ailbe,True,True,False
Ailbhe,True,True,False
Áile,False,True,False
Ailean,True,False,False
Aileas,False,True,False
Aileen,False,True,False
Ailen,False,True,False
Aili,False,True,False
Ailill,True,False,False
Ailín,True,False,False
Ailin,False,True,False
Ailís,False,True,False
Ailis,False,True,False
Ailish,False,True,False
Ailpean,True,False,False
Ailsa,False,True,False
Aiman,True,True,False
Aimar,True,False,False
Aimé,True,False,False
Aimée,False,True,False
Aimee,False,True,False
Aimeric,True,False,False
Aimery,True,False,False
Aimi,False,True,False
Aimilios,True,False,False
Aimo,True,False,False
Ain,True,False,False
Aina,False,True,False
Ainara,False,True,False
Ainārs,True,False,False
Aindrea,True,False,False
Aindréas,True,False,False
Aindriú,True,False,False
Áine,False,True,False
Aineias,True,False,False
Aingeal,False,True,False
Aingeru,True,False,False
Ainhoa,False,True,False
Aino,False,True,False
Ainoa,False,True,False
Ainslee,False,True,False
Ainsley,True,True,False
Ainslie,False,True,False
Aintza,False,True,False
Aintzane,False,True,False
Ainur,False,True,False
Ainura,False,True,False
Aiolos,True,False,False
Aira,False,True,False
Airat,True,False,False
Airi,False,True,False
Airmanagild,True,False,False
Airmanareiks,True,False,False
Aişə,False,True,False
Aischylos,True,False,False
'Aisha,False,True,False
A'isha,False,True,False
Aisha,False,True,False
Aishah,False,True,False
Aishat,False,True,False
Aishath,False,True,False
Aishatu,False,True,False
Aishwarya,False,True,False
Aislin,False,True,False
Aisling,False,True,False
Aislinn,False,True,False
Aisopos,True,False,False
Aïssa,False,True,False
Aïssatou,False,True,False
Aistė,False,True,False
Aistulf,True,False,False
Aisultan,True,False,False
Aisyah,False,True,False
Aitana,False,True,False
Aithan,True,False,False
Aithbhreac,False,True,False
Aither,True,False,False
Aithne,False,True,False
Aitor,True,False,False
Aiur,True,False,False
Aivar,True,False,False
Aivars,True,False,False
Aiwareiks,True,False,False
Aiza,False,True,False
Aizah,False,True,False
Aizere,False,True,False
Aizhan,False,True,False
Ajax,True,False,False
Ajay,True,False,False
Ajda,False,True,False
Ajdin,True,False,False
Ajeet,True,False,False
Ajei,False,True,False
Ajit,True,False,False
Ajita,True,False,False
Ajith,True,False,False
Ajla,False,True,False
Ajlin,False,True,False
Ajna,False,True,False
Ajnur,True,False,False
Ajša,False,True,False
Akachi,True,True,False
Akaki,True,False,False
Akakios,True,False,False
Akamu,True,False,False
Akane,False,True,False
Akanksha,False,True,False
Akantha,False,True,False
Akari,False,True,False
Akash,True,False,False
Akbar,True,False,False
Akbota,False,True,False
Åke,True,False,False
Akeem,True,False,False
Akemi,False,True,False
Akerke,False,True,False
Akhenaten,True,False,False
Akhenaton,True,False,False
Akhil,True,False,False
Akhila,False,True,False
Akhmad,True,False,False
Akhmat,True,False,False
Akhmet,True,False,False
'Akhsa,False,True,False
Áki,True,False,False
Aki,True,True,False
Akiba,True,False,False
Akicita,True,False,False
Akie,False,True,False
Akif,True,False,False
Akihiko,True,False,False
Akihito,True,False,False
Akiko,False,True,False
Akilah,False,True,False
Akilina,False,True,False
Akim,True,False,False
Akimitsu,True,False,False
Akinyi,False,True,False
Akio,True,False,False
Akira,True,True,False
Akito,True,False,False
Akiva,True,False,False
Akli,True,False,False
Akmad,True,False,False
Akmal,True,False,False
Akmaral,False,True,False
Akmat,True,False,False
Akoni,True,False,False
Ákos,True,False,False
Akosua,False,True,False
Akpan,True,False,False
